mode,iteration,runId,status,errorCode,operationCount,passedOperations,basePort,clientTimeoutSec,commit,finishedAt
default,1,20260630T043748Z-default-1,RUNTIME_SMOKE_PASSED,,1,1,22000,30,17e780feff5ee2b5e8adcb037ec85ff71a16446f,2026-06-30T04:38:17Z
reduced,1,20260630T043817Z-reduced-1,RUNTIME_SMOKE_PASSED,,1,1,22000,30,17e780feff5ee2b5e8adcb037ec85ff71a16446f,2026-06-30T04:38:25Z
default,2,20260630T043825Z-default-2,RUNTIME_SMOKE_PASSED,,1,1,22000,30,17e780feff5ee2b5e8adcb037ec85ff71a16446f,2026-06-30T04:38:46Z
reduced,2,20260630T043847Z-reduced-2,RUNTIME_SMOKE_PASSED,,1,1,22000,30,17e780feff5ee2b5e8adcb037ec85ff71a16446f,2026-06-30T04:38:54Z
default,3,20260630T043854Z-default-3,RUNTIME_SMOKE_PASSED,,1,1,22000,30,17e780feff5ee2b5e8adcb037ec85ff71a16446f,2026-06-30T04:39:15Z
reduced,3,20260630T043915Z-reduced-3,RUNTIME_SMOKE_PASSED,,1,1,22000,30,17e780feff5ee2b5e8adcb037ec85ff71a16446f,2026-06-30T04:39:22Z
