protocol,warmOperations,warmPassed,warmTotalMs,warmReadyMs,warmOperationsMs,coldRepeats,coldContainerAvgMs,coldContainerMinMs,coldContainerMaxMs,coldReadyAvgMs,coldReadyMinMs,coldReadyMaxMs,coldOperationsAvgMs,coldOperationsMinMs,coldOperationsMaxMs,traceEvents,observedTraceCategories,notExecutedTraceCategories
pbft,10,10,17307,9,12040,3,5540,5516,5585,9.67,8,12,1222,1201,1264,753,9,1
hs1-pr100,10,10,31382,13110,12722,3,18827.67,18745,18917,13097.33,13095,13099,1335.33,1320,1364,1317,12,1
hs2,10,10,17048,14,11621,3,5503.67,5283,5663,8,6,12,1192,1176,1220,792,9,1
