semver,runId,protocol,repeat,image,status,containerTotalDurationMs,processReadyDurationMs,operationsDurationMs,imageId,sizeBytes,basePort,operationCount,passedOperations,notes
v2.18.4-beta.1,20260701T021524Z-runtime-coldstart,pbft,1,chatay-resilientdb-pbft:v2.18.3-alpha.1,PASSED,5585,12,1264,sha256:47c138d18e5061c6eb7461e876f2cc8bbd6ca8af29bf6ed18376732da059aa4a,1070001534,25010,1,1,runtime warm-cluster passed
v2.18.4-beta.1,20260701T021524Z-runtime-coldstart,pbft,2,chatay-resilientdb-pbft:v2.18.3-alpha.1,PASSED,5519,9,1201,sha256:47c138d18e5061c6eb7461e876f2cc8bbd6ca8af29bf6ed18376732da059aa4a,1070001534,25020,1,1,runtime warm-cluster passed
v2.18.4-beta.1,20260701T021524Z-runtime-coldstart,pbft,3,chatay-resilientdb-pbft:v2.18.3-alpha.1,PASSED,5516,8,1201,sha256:47c138d18e5061c6eb7461e876f2cc8bbd6ca8af29bf6ed18376732da059aa4a,1070001534,25030,1,1,runtime warm-cluster passed
v2.18.4-beta.1,20260701T021524Z-runtime-coldstart,hs1-pr100,1,chatay-resilientdb-hs1-pr100:v2.14.10-beta.1,PASSED,18821,13099,1320,sha256:685173b06c9274d1e6a63327143001a030915853d10daa5fbaf843b3bc2a5717,976420827,25110,1,1,runtime warm-cluster passed
v2.18.4-beta.1,20260701T021524Z-runtime-coldstart,hs1-pr100,2,chatay-resilientdb-hs1-pr100:v2.14.10-beta.1,PASSED,18745,13098,1322,sha256:685173b06c9274d1e6a63327143001a030915853d10daa5fbaf843b3bc2a5717,976420827,25120,1,1,runtime warm-cluster passed
v2.18.4-beta.1,20260701T021524Z-runtime-coldstart,hs1-pr100,3,chatay-resilientdb-hs1-pr100:v2.14.10-beta.1,PASSED,18917,13095,1364,sha256:685173b06c9274d1e6a63327143001a030915853d10daa5fbaf843b3bc2a5717,976420827,25130,1,1,runtime warm-cluster passed
v2.18.4-beta.1,20260701T021524Z-runtime-coldstart,hs2,1,chatay-resilientdb-hs2:v2.18.0-alpha.1,PASSED,5565,12,1180,sha256:87d206e1a2ad9bc0d7af662479fa45e77da5f0c82238b67249450a6576bd1224,976114081,25210,1,1,runtime warm-cluster passed
v2.18.4-beta.1,20260701T021524Z-runtime-coldstart,hs2,2,chatay-resilientdb-hs2:v2.18.0-alpha.1,PASSED,5663,6,1220,sha256:87d206e1a2ad9bc0d7af662479fa45e77da5f0c82238b67249450a6576bd1224,976114081,25220,1,1,runtime warm-cluster passed
v2.18.4-beta.1,20260701T021524Z-runtime-coldstart,hs2,3,chatay-resilientdb-hs2:v2.18.0-alpha.1,PASSED,5283,6,1176,sha256:87d206e1a2ad9bc0d7af662479fa45e77da5f0c82238b67249450a6576bd1224,976114081,25230,1,1,runtime warm-cluster passed
